Country,Year,PopTotal,PopDensity,PopSexRatio,MedianAgePop,CBR,TFR,LEx,IMR,Q5,NetMigrations
African Union: Western Africa,1950,69779.21,13.8656,99.8955,18.1701,47.151,6.4706,35.174,165.5092,351.5699,21.161
African Union: Western Africa,1951,71128.839,14.1338,99.7521,18.2017,47.314,6.4784,35.4407,164.4624,347.845,10.144
African Union: Western Africa,1952,72510.548,14.4084,99.6222,18.2244,47.382,6.4753,35.68,163.404,344.3043,-10.037
African Union: Western Africa,1953,73912.037,14.6869,99.5008,18.2344,47.533,6.4871,35.926,162.3526,340.7665,-45.128
African Union: Western Africa,1954,75349.625,14.9725,99.3875,18.2321,47.637,6.4985,36.18,161.3134,337.4441,-39.522
African Union: Western Africa,1955,76839.17,15.2685,99.2773,18.2227,47.757,6.5125,36.3802,160.2814,334.5066,-41.484
African Union: Western Africa,1956,78378.989,15.5745,99.1712,18.208,47.873,6.5283,36.6026,159.2791,331.2749,-41.91
African Union: Western Africa,1957,79969.234,15.8905,99.0749,18.1877,47.951,6.5366,36.8305,158.2884,328.078,-46.685
African Union: Western Africa,1958,81588.083,16.2121,98.9835,18.1555,47.993,6.5392,37.0791,157.315,324.8575,-90.799
African Union: Western Africa,1959,83271.385,16.5466,98.8986,18.1181,47.998,6.5448,37.3173,156.3387,321.7987,-24.085
African Union: Western Africa,1960,85056.529,16.9013,98.8241,18.085,48.062,6.5539,37.5466,155.3906,318.7858,-0.453
African Union: Western Africa,1961,86897.156,17.2671,98.7386,18.0524,48.126,6.5634,37.7947,154.4567,315.7374,-36.757
African Union: Western Africa,1962,88785.129,17.6422,98.6437,18.0188,48.215,6.5779,38.0316,153.4365,312.5344,-31.444
African Union: Western Africa,1963,90734.48,18.0296,98.5571,17.9834,48.19,6.5846,38.2597,152.5349,309.439,-31.826
African Union: Western Africa,1964,92738.752,18.4279,98.4749,17.9427,48.201,6.6,38.4835,151.675,306.531,-38.705
African Union: Western Africa,1965,94817.608,18.8409,98.4011,17.8944,48.154,6.6116,38.7446,150.8175,303.8138,-7.514
African Union: Western Africa,1966,96974.659,19.2696,98.3402,17.8299,48.15,6.6312,38.9394,149.9621,300.9789,-11.085
African Union: Western Africa,1967,99191.298,19.71,98.2709,17.7312,48.153,6.6517,38.6018,149.6737,299.5874,21.304
African Union: Western Africa,1968,101493.077,20.1674,98.1994,17.614,48.172,6.67,39.357,147.3266,293.1648,10.616
African Union: Western Africa,1969,103888.701,20.6434,98.151,17.5088,48.215,6.6909,39.6565,146.0717,289.432,-1.908
African Union: Western Africa,1970,106397.315,21.1419,98.1492,17.4144,48.226,6.7108,40.3978,144.6157,284.9111,24.742
African Union: Western Africa,1971,109000.746,21.6592,98.1924,17.3157,48.395,6.7512,40.8423,143.1102,280.4744,-59.367
African Union: Western Africa,1972,111707.348,22.1971,98.2378,17.2136,48.436,6.7814,41.44,141.1284,274.5462,-22.387
African Union: Western Africa,1973,114567.57,22.7654,98.2705,17.1169,48.529,6.8139,41.9547,139.1673,269.0015,-16.09
African Union: Western Africa,1974,117605.174,23.369,98.2951,17.022,48.732,6.8559,42.5724,137.0364,262.7486,38.716
African Union: Western Africa,1975,120837.188,24.0112,98.3086,16.9271,48.876,6.8951,43.156,134.8115,256.555,53.87
African Union: Western Africa,1976,124198.223,24.6791,98.3234,16.822,48.836,6.9133,44.0505,131.2217,246.809,-36.352
African Union: Western Africa,1977,127725.379,25.38,98.3378,16.712,48.845,6.9444,44.6954,128.8683,240.3273,47.231
African Union: Western Africa,1978,131452.792,26.1206,98.3427,16.607,48.862,6.971,45.2546,126.6488,234.2636,37.471
African Union: Western Africa,1979,135322.388,26.8895,98.3488,16.5151,48.628,6.9547,45.7363,124.6697,228.9031,37.912
African Union: Western Africa,1980,139348.249,27.6895,98.3747,16.4368,48.344,6.9331,46.1008,123.0124,224.5848,98.809
African Union: Western Africa,1981,143488.462,28.5122,98.419,16.3589,48.056,6.9143,46.4823,121.5221,220.8204,17.466
African Union: Western Africa,1982,147727.475,29.3545,98.4558,16.2831,47.764,6.8882,46.7588,120.3183,217.9012,47.467
African Union: Western Africa,1983,151811.738,30.1661,98.4845,16.2094,47.638,6.8572,46.9682,119.2823,215.3463,-536.185
African Union: Western Africa,1984,155940.29,30.9865,98.5448,16.1398,47.053,6.8033,47.1127,118.4569,213.3875,-47.014
African Union: Western Africa,1985,160348.415,31.8624,98.6249,16.0805,46.606,6.7445,47.1938,117.7855,211.8294,-113.902
African Union: Western Africa,1986,164785.601,32.7441,98.6929,16.0304,46.151,6.698,47.25,117.1282,210.2484,-139.425
African Union: Western Africa,1987,169311.646,33.6434,98.7678,15.9932,45.763,6.6463,47.382,116.5168,208.8709,-100.019
African Union: Western Africa,1988,173986.31,34.5723,98.8573,15.9722,45.458,6.6099,47.5059,115.9355,207.4993,-39.385
African Union: Western Africa,1989,178825.422,35.5339,98.9529,15.9671,45.301,6.5772,47.6329,115.3501,205.9973,-10.367
African Union: Western Africa,1990,183589.023,36.4805,99.0475,15.9775,45.07,6.5307,47.5787,114.7065,204.2345,-418.287
African Union: Western Africa,1991,188380.661,37.4326,99.127,15.9978,44.784,6.4816,47.6522,114.0182,202.5282,-149.816
African Union: Western Africa,1992,193494.789,38.4488,99.2094,16.0326,44.53,6.4268,47.8361,113.1539,200.4265,-1.582
African Union: Western Africa,1993,198740.782,39.4912,99.2955,16.0879,44.29,6.3698,48.0395,112.3661,198.2614,-146.954
African Union: Western Africa,1994,204046.342,40.5455,99.3636,16.148,44.051,6.309,48.0615,111.5301,195.9153,-128.87
African Union: Western Africa,1995,209550.288,41.6392,99.4192,16.2076,43.879,6.2456,48.2613,110.3482,192.6224,-17.502
African Union: Western Africa,1996,215224.136,42.7666,99.471,16.273,43.624,6.1802,48.3655,109.0425,189.2977,-70.812
African Union: Western Africa,1997,221132.804,43.9407,99.5197,16.3375,43.363,6.1124,48.5749,107.4127,185.4115,176.075
African Union: Western Africa,1998,227305.384,45.1672,99.5909,16.4034,43.161,6.0537,48.787,105.6052,181.0714,141.024
African Union: Western Africa,1999,233544.203,46.4069,99.6807,16.4657,43.273,6.0417,49.1788,103.5864,176.3859,-120.544
African Union: Western Africa,2000,239966.668,47.6831,99.7624,16.5148,43.456,6.0445,49.7214,101.3323,171.1374,-60.269
African Union: Western Africa,2001,246736.892,49.0284,99.8402,16.553,43.318,6.0159,50.1207,99.0587,165.7789,40.897
African Union: Western Africa,2002,253761.478,50.4242,99.94,16.5866,43.112,5.9803,50.5816,96.6809,160.371,-8.192
African Union: Western Africa,2003,260913.576,51.8454,100.0597,16.6137,42.938,5.9447,51.084,94.2463,154.9332,-181.639
African Union: Western Africa,2004,268246.006,53.3024,100.1727,16.6304,42.654,5.9142,51.6464,91.7337,149.7263,-131.986
African Union: Western Africa,2005,275850.667,54.8135,100.2637,16.6369,42.546,5.8898,52.1094,89.2355,144.503,-148.699
African Union: Western Africa,2006,283678.998,56.3691,100.3383,16.6346,42.341,5.8652,52.5463,86.8788,139.5881,-211.792
African Union: Western Africa,2007,291724.077,57.9677,100.4125,16.6311,42.033,5.8268,53.0598,84.6804,135.0411,-209.412
African Union: Western Africa,2008,299988.282,59.6098,100.5153,16.6458,41.832,5.8024,53.4967,82.6207,130.86,-280.764
African Union: Western Africa,2009,308444.174,61.2901,100.6476,16.6754,41.587,5.7664,53.8837,80.7302,127.1982,-336.896
African Union: Western Africa,2010,317122.412,63.0145,100.7753,16.7026,41.336,5.7287,54.2074,78.9748,123.8566,-321.2
