Year,Country,Flow Label,Direction Label,FDI_Current,FDI_Percentage
1990,Sub-Saharan Africa,Flow,Inward,1689.692,0.824692
1990,Sub-Saharan Africa,Flow,Outward,523.053,0.214476
1990,Sub-Saharan Africa,Stock,Inward,36032.356,1.640666
1990,Sub-Saharan Africa,Stock,Outward,19413.9,0.860964
1990,Western Africa,Flow,Inward,1553.428,0.758185
1990,Western Africa,Flow,Outward,411.502,0.168735
1990,Western Africa,Stock,Inward,14012.547,0.638035
1990,Western Africa,Stock,Outward,2202.495,0.097676
1990,Benin,Flow,Inward,62.377,0.030444
1990,Benin,Flow,Outward,0.273,0.000112
1990,Benin,Stock,Inward,,
1990,Benin,Stock,Outward,1.562,6.9e-05
1991,Sub-Saharan Africa,Flow,Inward,2629.468,1.7079
1991,Sub-Saharan Africa,Flow,Outward,1073.436,0.539804
1991,Sub-Saharan Africa,Stock,Inward,39325.838,1.591416
1991,Sub-Saharan Africa,Stock,Outward,21494.007,0.85009
1991,Western Africa,Flow,Inward,1367.17,0.888009
1991,Western Africa,Flow,Outward,762.431,0.383407
1991,Western Africa,Stock,Inward,15373.267,0.622117
1991,Western Africa,Stock,Outward,3073.321,0.12155
1991,Benin,Flow,Inward,120.78,0.07845
1991,Benin,Flow,Outward,0.354,0.000178
1991,Benin,Stock,Inward,,
1991,Benin,Stock,Outward,1.917,7.6e-05
1992,Sub-Saharan Africa,Flow,Inward,2244.192,1.362718
1992,Sub-Saharan Africa,Flow,Outward,2494.895,1.210827
1992,Sub-Saharan Africa,Stock,Inward,41823.182,1.677154
1992,Sub-Saharan Africa,Stock,Outward,23940.062,0.942453
1992,Western Africa,Flow,Inward,1401.332,0.850917
1992,Western Africa,Flow,Outward,414.687,0.201257
1992,Western Africa,Stock,Inward,16763.779,0.672246
1992,Western Africa,Stock,Outward,3707.959,0.145972
1992,Benin,Flow,Inward,77.573,0.047104
1992,Benin,Flow,Outward,0.378,0.000183
1992,Benin,Stock,Inward,25.739,0.001032
1992,Benin,Stock,Outward,2.294,9e-05
1993,Sub-Saharan Africa,Flow,Inward,3032.171,1.364389
1993,Sub-Saharan Africa,Flow,Outward,1005.197,0.423192
1993,Sub-Saharan Africa,Stock,Inward,44120.495,1.634796
1993,Sub-Saharan Africa,Stock,Outward,24398.321,0.832636
1993,Western Africa,Flow,Inward,2121.561,0.954641
1993,Western Africa,Flow,Outward,593.819,0.25
1993,Western Africa,Stock,Inward,18882.69,0.69966
1993,Western Africa,Stock,Outward,3897.111,0.132996
1993,Benin,Flow,Inward,1.406,0.000632
1993,Benin,Flow,Outward,0.706,0.000297
1993,Benin,Stock,Inward,27.144,0.001006
1993,Benin,Stock,Outward,3.001,0.000102
1994,Sub-Saharan Africa,Flow,Inward,3827.16,1.495605
1994,Sub-Saharan Africa,Flow,Outward,1790.365,0.623224
1994,Sub-Saharan Africa,Stock,Inward,49496.72,1.670074
1994,Sub-Saharan Africa,Stock,Outward,25945.793,0.787604
1994,Western Africa,Flow,Inward,2787.391,1.089277
1994,Western Africa,Flow,Outward,447.026,0.155609
1994,Western Africa,Stock,Inward,21670.192,0.731176
1994,Western Africa,Stock,Outward,4250.535,0.129028
1994,Benin,Flow,Inward,13.649,0.005334
1994,Benin,Flow,Outward,1.558,0.000542
1994,Benin,Stock,Inward,40.793,0.001376
1994,Benin,Stock,Outward,4.559,0.000138
1995,Sub-Saharan Africa,Flow,Inward,4436.917,1.285531
1995,Sub-Saharan Africa,Flow,Outward,2843.066,0.787021
1995,Sub-Saharan Africa,Stock,Inward,55247.505,1.549957
1995,Sub-Saharan Africa,Stock,Outward,30793.267,0.771164
1995,Western Africa,Flow,Inward,1860.777,0.539133
1995,Western Africa,Flow,Outward,189.219,0.05238
1995,Western Africa,Stock,Inward,23522.969,0.659932
1995,Western Africa,Stock,Outward,4626.103,0.115853
1995,Benin,Flow,Inward,8.014,0.002322
1995,Benin,Stock,Inward,48.807,0.001369
1995,Benin,Stock,Outward,4.559,0.000114
1996,Sub-Saharan Africa,Flow,Inward,4579.672,1.165968
1996,Sub-Saharan Africa,Flow,Outward,1718.743,0.435738
1996,Sub-Saharan Africa,Stock,Inward,56411.709,1.364581
1996,Sub-Saharan Africa,Stock,Outward,28817.444,0.632878
1996,Western Africa,Flow,Inward,2615.052,0.665782
1996,Western Africa,Flow,Outward,612.698,0.155332
1996,Western Africa,Stock,Inward,26128.577,0.632042
1996,Western Africa,Stock,Outward,4954.471,0.108808
1996,Benin,Flow,Inward,13.488,0.003434
1996,Benin,Flow,Outward,21.922,0.005558
1996,Benin,Stock,Inward,62.295,0.001507
1996,Benin,Stock,Outward,26.481,0.000582
1997,Sub-Saharan Africa,Flow,Inward,8283.262,1.723423
1997,Sub-Saharan Africa,Flow,Outward,3089.063,0.663907
1997,Sub-Saharan Africa,Stock,Inward,64269.676,1.361707
1997,Sub-Saharan Africa,Stock,Outward,27543.325,0.523923
1997,Western Africa,Flow,Inward,2718.086,0.565527
1997,Western Africa,Flow,Outward,661.549,0.142181
1997,Western Africa,Stock,Inward,28803.499,0.610271
1997,Western Africa,Stock,Outward,5557.622,0.105716
1997,Benin,Flow,Inward,13.706,0.002852
1997,Benin,Flow,Outward,13.139,0.002824
1997,Benin,Stock,Inward,46.911,0.000994
1997,Benin,Stock,Outward,39.62,0.000754
1998,Sub-Saharan Africa,Flow,Inward,6998.672,1.026937
1998,Sub-Saharan Africa,Flow,Outward,1294.473,0.190504
1998,Sub-Saharan Africa,Stock,Inward,68805.084,1.162915
1998,Sub-Saharan Africa,Stock,Outward,30208.824,0.48361
1998,Western Africa,Flow,Inward,2507.078,0.367871
1998,Western Africa,Flow,Outward,-540.112,-0.079487
1998,Western Africa,Stock,Inward,29977.57,0.506668
1998,Western Africa,Stock,Outward,4877.939,0.07809
1998,Benin,Flow,Inward,32.715,0.0048
1998,Benin,Flow,Outward,5.204,0.000766
1998,Benin,Stock,Inward,66.959,0.001132
1998,Benin,Stock,Outward,44.824,0.000718
1999,Sub-Saharan Africa,Flow,Inward,8545.814,0.792537
1999,Sub-Saharan Africa,Flow,Outward,2311.515,0.214593
1999,Sub-Saharan Africa,Stock,Inward,110210.135,1.555189
1999,Sub-Saharan Africa,Stock,Outward,36201.719,0.506502
1999,Western Africa,Flow,Inward,2338.034,0.216829
1999,Western Africa,Flow,Outward,673.338,0.06251
1999,Western Africa,Stock,Inward,30789.339,0.434472
1999,Western Africa,Stock,Outward,5121.443,0.071655
1999,Benin,Flow,Inward,39.264,0.003641
1999,Benin,Flow,Outward,1.444,0.000134
1999,Benin,Stock,Inward,73.486,0.001037
1999,Benin,Stock,Outward,5.587,7.8e-05
2000,Sub-Saharan Africa,Flow,Inward,7135.493,0.525951
2000,Sub-Saharan Africa,Flow,Outward,1299.656,0.111799
2000,Sub-Saharan Africa,Stock,Inward,107472.342,1.456817
2000,Sub-Saharan Africa,Stock,Outward,36616.332,0.494262
2000,Western Africa,Flow,Inward,2134.902,0.157362
2000,Western Africa,Flow,Outward,964.948,0.083007
2000,Western Africa,Stock,Inward,33009.659,0.447455
2000,Western Africa,Stock,Outward,6380.984,0.086133
2000,Benin,Flow,Inward,59.737,0.004403
2000,Benin,Flow,Outward,3.583,0.000308
2000,Benin,Stock,Inward,213.199,0.00289
2000,Benin,Stock,Outward,10.52,0.000142
2001,Sub-Saharan Africa,Flow,Inward,14614.925,1.890357
2001,Sub-Saharan Africa,Flow,Outward,-2938.775,-0.43119
2001,Sub-Saharan Africa,Stock,Inward,103901.862,1.394864
2001,Sub-Saharan Africa,Stock,Outward,23629.779,0.325507
2001,Western Africa,Flow,Inward,2074.754,0.268358
2001,Western Africa,Flow,Outward,-186.911,-0.027424
2001,Western Africa,Stock,Inward,34624.837,0.464832
2001,Western Africa,Stock,Outward,5898.236,0.08125
2001,Benin,Flow,Inward,43.859,0.005673
2001,Benin,Flow,Outward,2.305,0.000338
2001,Benin,Stock,Inward,173.824,0.002334
2001,Benin,Stock,Outward,12.601,0.000174
2002,Sub-Saharan Africa,Flow,Inward,10889.798,1.844755
2002,Sub-Saharan Africa,Flow,Outward,342.793,0.06903
2002,Sub-Saharan Africa,Stock,Inward,114733.578,1.571095
2002,Sub-Saharan Africa,Stock,Outward,29433.861,0.403128
2002,Western Africa,Flow,Inward,2913.273,0.493515
2002,Western Africa,Flow,Outward,610.017,0.122843
2002,Western Africa,Stock,Inward,38115.97,0.521938
2002,Western Africa,Stock,Outward,6231.679,0.08535
2002,Benin,Flow,Inward,13.508,0.002288
